C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
PRESSURE TREATED/DECKING,322339,2 IN. X 6 IN. X 8 FT. IPE S4S E4E DE,1003550527,021-020-010-CEDAR,021-020-010,21-LUMBER,25.0,
DIMENSIONAL LUMBER,243854,21-1/2 IN. X 35 IN. X 35 IN. CHILDRE,1001650502,021-003-006-KITS & HARDWARE,021-003-006,21-LUMBER,277.0,
PRESSURE TREATED/DECKING,66707,5 IN. X 5 IN. REDWOOD COMPOSITE POST,1002146369,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,5.0,
FENCING,UNKNOWN,"5-6""X8' PT PINE ROUND FENCE POST",706157,021-008-012-POST/RAIL,021-008-012,21-LUMBER,22389.0,478.0
LANDSCAPE,UNKNOWN,PT GOTHIC FINIAL,440517,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1184.0,
PRESSURE TREATED/DECKING,254037,1X4-8FT PT T&G WEATHERSHIELD GC,1001802408,021-020-006-PT BOARDS,021-020-006,21-LUMBER,12770.0,577.0
PRESSURE TREATED/DECKING,363329,1-5/32X6-8FT #1 THICK DECK PT WSHLD,1004153302,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,140522.0,3689.0
FENCING,245314,"5""X5""X9' ROUTED PRO LINE POST",1001676865,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,85099.0,3619.0
FENCING,318736,3-1/2'X8' CEDAR FR GOTH FENCE PANEL,1002928636,021-008-009-WRC PANELS,021-008-009,21-LUMBER,227807.0,9342.0
PRESSURE TREATED/DECKING,163037,5/4X6-4 PREM SYP AG CDR-TN PT WSHLD,1002854861,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,41468.0,8133.0
PRESSURE TREATED/DECKING,188906,6 IN. X 6 IN. WOOD TIFFANY SUNFLOWER,1000347261,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,,0.0
LANDSCAPE,UNKNOWN,"4""X4"" COPPER POST CAP",422071,021-007-006-SPECIALTY,021-007-006,21-LUMBER,22491.0,
LANDSCAPE,UNKNOWN,6' PT GRID IRON PRE-ASSEMB RAIL KIT,1001556918,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2955.0,0.0
PANELING,103733,"3/16""-4'X8' DEEP BEADED WHITE PANELI",334966,030-027-002-WOOD PANELING,030-027-002,30-MILLWORK,218.0,0.0
BOARDS,418927,".75"" X 5.5"" X 192"" PFJ EG CEDAR TRIM",1005490314,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,1963.0,510.0
PRESSURE TREATED/DECKING,UNKNOWN,DLVRD 2X10-8FT #1 PT RWD-TN WTHRSHLD,1000019452,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,13.0,0.0
BOARDS,365202,"1/2"" 4'X8' PVC LOW DENSITY WHT PANEL",1004162128,021-005-018-PRIMED PVC,021-005-018,21-LUMBER,13964.0,933.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-16FT PREM PT WEATHERSHIELD,159091,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,1689431.5,18288.0
LANDSCAPE,UNKNOWN,UFP_S/O_21-7-60_LANDSCAPE,1000049026,021-007-060-S/O LANDSCAPE,021-007-060,21-LUMBER,26993.0,194.0
LANDSCAPE,77219,3/4 IN. X 32 IN. BLACK ALUMINUM ROUN,1000339844,021-007-006-SPECIALTY,021-007-006,21-LUMBER,8378.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-6'PREM PT GC WEATHERSHIELD,1001784150,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,634754.0,17247.0
LANDSCAPE,UNKNOWN,3-STP PT (2X12) CDR-TN STAIR STRINGR,1002339005,021-007-006-SPECIALTY,021-007-006,21-LUMBER,115119.0,3221.0
FENCING,165452,WINDHAM POST INSERT,1000006533,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,17.0,0.0
PRESSURE TREATED/DECKING,253904,2X6-8FT #1 RED PT GC WEATHERSHLD,1001802243,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,1332746.0,12760.0
FENCING,310067,6'X8' CDR SQ LATTICE TOP PANEL,1002910946,021-008-009-WRC PANELS,021-008-009,21-LUMBER,5292.0,29.0
PRESSURE TREATED/DECKING,UNKNOWN,4X4-10FT #2 PT GC,257974,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,7119305.7,92485.0
BOARDS,848464,"3/4""X4'X8' PAINT GRADE SLATWALL",848464,021-005-019-MELAMINE,021-005-019,21-LUMBER,2860.0,250.0
