C_Merch_Vendor_Nbr,C_SKU_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_sales
769444,1002185336,0651-FLORIN RD,0651,1002185336-2X6-4FT PRE-CUT LUMBER,505.0,2321.249999999998
769444,1002185336,3823-WEST CHESTER,3823,1002185336-2X6-4FT PRE-CUT LUMBER,273.0,1158.749999999999
21376,1002185336,0748-MANCHESTER,0748,1002185336-2X6-4FT PRE-CUT LUMBER,55.0,219.23999999999998
68662,1002185336,6846-AUBURN,6846,1002185336-2X6-4FT PRE-CUT LUMBER,88.0,364.2900000000001
769444,1002185336,3486-SOUTH MERRIMACK,3486,1002185336-2X6-4FT PRE-CUT LUMBER,126.0,616.0500000000001
21376,1002185336,1116-MYRTLE BEACH,1116,1002185336-2X6-4FT PRE-CUT LUMBER,228.0,925.2600000000003
21376,1002185336,0776-SMYRNA,0776,1002185336-2X6-4FT PRE-CUT LUMBER,169.0,694.24
68662,1002185336,6154-JAMESTOWN,6154,1002185336-2X6-4FT PRE-CUT LUMBER,128.0,466.41
769444,1002185336,6526-KILLEEN,6526,1002185336-2X6-4FT PRE-CUT LUMBER,507.0,2031.2199999999998
769444,1002185336,4903-GRAND CHUTE,4903,1002185336-2X6-4FT PRE-CUT LUMBER,207.0,908.58
769444,1002185336,0539-PLANO,0539,1002185336-2X6-4FT PRE-CUT LUMBER,301.0,1302.51
21376,1002185336,1856-FLOWERY BRANCH,1856,1002185336-2X6-4FT PRE-CUT LUMBER,188.0,792.9100000000002
68662,1002185336,6220-GLASTONBURY,6220,1002185336-2X6-4FT PRE-CUT LUMBER,,
769444,1002185336,3819-WEST BROAD,3819,1002185336-2X6-4FT PRE-CUT LUMBER,198.0,814.3699999999999
769444,1002185336,6538-GEORGETOWN,6538,1002185336-2X6-4FT PRE-CUT LUMBER,318.0,1354.5900000000006
81537,1002185336,6407-MAYAGUEZ,6407,1002185336-2X6-4FT PRE-CUT LUMBER,271.0,1389.8200000000002
68662,1002185336,4126-GREENSBURG,4126,1002185336-2X6-4FT PRE-CUT LUMBER,216.0,911.7300000000004
