Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,UNKNOWN,1000031150,FW 201817,1000031150-4X4-8 VINYL FENCE POST,320,6147.83
021-008-FENCING,UNKNOWN,1000031150,FW 201823,1000031150-4X4-8 VINYL FENCE POST,173,3340.11
021-008-FENCING,UNKNOWN,1000031150,FW 201840,1000031150-4X4-8 VINYL FENCE POST,56,929.2800000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201902,1000031150-4X4-8 VINYL FENCE POST,26,435.49
021-008-FENCING,UNKNOWN,1000031150,FW 201808,1000031150-4X4-8 VINYL FENCE POST,37,706.57
021-008-FENCING,UNKNOWN,1000031150,FW 201829,1000031150-4X4-8 VINYL FENCE POST,109,2100.93
021-008-FENCING,UNKNOWN,1000031150,FW 201841,1000031150-4X4-8 VINYL FENCE POST,99,1795.8200000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201827,1000031150-4X4-8 VINYL FENCE POST,185,3528.5400000000004
021-008-FENCING,UNKNOWN,1000031150,FW 201820,1000031150-4X4-8 VINYL FENCE POST,225,4392.51
021-008-FENCING,UNKNOWN,1000031150,FW 201940,1000031150-4X4-8 VINYL FENCE POST,-1,-9.32
021-008-FENCING,UNKNOWN,1000031150,FW 201821,1000031150-4X4-8 VINYL FENCE POST,222,4180.670000000001
021-008-FENCING,UNKNOWN,1000031150,FW 201845,1000031150-4X4-8 VINYL FENCE POST,34,373.76999999999992
021-008-FENCING,UNKNOWN,1000031150,FW 201833,1000031150-4X4-8 VINYL FENCE POST,110,2033.1599999999999
021-008-FENCING,UNKNOWN,1000031150,FW 201846,1000031150-4X4-8 VINYL FENCE POST,14,215.52999999999997
021-008-FENCING,UNKNOWN,1000031150,FW 201811,1000031150-4X4-8 VINYL FENCE POST,65,1240.88
021-008-FENCING,UNKNOWN,1000031150,FW 202032,1000031150-4X4-8 VINYL FENCE POST,4,79.92
021-008-FENCING,UNKNOWN,1000031150,FW 201920,1000031150-4X4-8 VINYL FENCE POST,9,194.84000000000003
021-008-FENCING,UNKNOWN,1000031150,FW 201918,1000031150-4X4-8 VINYL FENCE POST,54,823
021-008-FENCING,UNKNOWN,1000031150,FW 201937,1000031150-4X4-8 VINYL FENCE POST,2,39.96
021-008-FENCING,UNKNOWN,1000031150,FW 201915,1000031150-4X4-8 VINYL FENCE POST,39,744.59
021-008-FENCING,UNKNOWN,1000031150,FW 201843,1000031150-4X4-8 VINYL FENCE POST,50,978.45000000000016
021-008-FENCING,UNKNOWN,1000031150,FW 201837,1000031150-4X4-8 VINYL FENCE POST,45,730.17
021-008-FENCING,UNKNOWN,1000031150,FW 201952,1000031150-4X4-8 VINYL FENCE POST,2,39.96
021-008-FENCING,UNKNOWN,1000031150,FW 201917,1000031150-4X4-8 VINYL FENCE POST,57,1123.5000000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201818,1000031150-4X4-8 VINYL FENCE POST,190,3654.5300000000007
021-008-FENCING,UNKNOWN,1000031150,FW 201806,1000031150-4X4-8 VINYL FENCE POST,14,276.84000000000003
021-008-FENCING,UNKNOWN,1000031150,FW 201903,1000031150-4X4-8 VINYL FENCE POST,14,278.45000000000005
021-008-FENCING,UNKNOWN,1000031150,FW 201912,1000031150-4X4-8 VINYL FENCE POST,133,988.50000000000023
021-008-FENCING,UNKNOWN,1000031150,FW 201805,1000031150-4X4-8 VINYL FENCE POST,4,77.04
021-008-FENCING,UNKNOWN,1000031150,FW 201831,1000031150-4X4-8 VINYL FENCE POST,231,4488.54
021-008-FENCING,UNKNOWN,1000031150,FW 202036,1000031150-4X4-8 VINYL FENCE POST,3,53.94
021-008-FENCING,UNKNOWN,1000031150,FW 201852,1000031150-4X4-8 VINYL FENCE POST,29,448.98
021-008-FENCING,UNKNOWN,1000031150,FW 201832,1000031150-4X4-8 VINYL FENCE POST,116,2152.35
021-008-FENCING,UNKNOWN,1000031150,FW 201809,1000031150-4X4-8 VINYL FENCE POST,87,1691.8000000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201826,1000031150-4X4-8 VINYL FENCE POST,170,3301.8700000000003
021-008-FENCING,UNKNOWN,1000031150,FW 201909,1000031150-4X4-8 VINYL FENCE POST,214,2646.6200000000003
021-008-FENCING,UNKNOWN,1000031150,FW 201904,1000031150-4X4-8 VINYL FENCE POST,33,588.84
021-008-FENCING,UNKNOWN,1000031150,FW 201919,1000031150-4X4-8 VINYL FENCE POST,96,1795.3000000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201803,1000031150-4X4-8 VINYL FENCE POST,17,337.74
021-008-FENCING,UNKNOWN,1000031150,FW 201910,1000031150-4X4-8 VINYL FENCE POST,146,1348.92
021-008-FENCING,UNKNOWN,1000031150,FW 201812,1000031150-4X4-8 VINYL FENCE POST,82,1608.2600000000002
021-008-FENCING,UNKNOWN,1000031150,FW 201930,1000031150-4X4-8 VINYL FENCE POST,8,48.230000000000004
021-008-FENCING,UNKNOWN,1000031150,FW 201932,1000031150-4X4-8 VINYL FENCE POST,10,40.04
021-008-FENCING,UNKNOWN,1000031150,FW 201911,1000031150-4X4-8 VINYL FENCE POST,356,3887.3900000000003
